Race,gradient,f_rr,c_rr
all,0.4207226289653097,2355.5479400832887,0.07457050227880312
Bahrain Grand Prix,0.615055752256025,1307.1436641465339,0.041380758135839774
Saudi Arabian Grand Prix,1.240084764723131,-4132.110128134952,-0.1308118261925324
Australian Grand Prix,0.6878060421977568,690.4255876274437,0.021857072819199692
Azerbaijan Grand Prix,1.1088154879507306,-3033.7369127732572,-0.09604019579378556
Miami Grand Prix,0.30608452744520454,3526.095870697651,0.11162699586230464
Spanish Grand Prix,1.2676927712940034,-3902.8472166416836,-0.12355396054987887
Canadian Grand Prix,1.8886055099494077,-8867.734866877916,-0.28072935041812813
Austrian Grand Prix,2.2105878786803164,-11470.09523359966,-0.363113290203293
Hungarian Grand Prix,2.507693513470632,-12707.254471337172,-0.4022785239848162
Italian Grand Prix,1.1725155517429935,-4478.411313458581,-0.14177481823777807
Singapore Grand Prix,0.4145900707404048,3114.032086894596,0.09858213152046004
Japanese Grand Prix,1.3024507502229528,-4691.259189631255,-0.1485130266881701
Qatar Grand Prix,1.4716800484018029,-4686.34722876224,-0.14835752682211203
United States Grand Prix,1.0169047178759125,-1818.7840237367777,-0.05757795707690776
Mexican Grand Prix,1.0013393104742143,-3013.3686439831795,-0.09539538954366439
Brazilian Grand Prix,1.1725155517429935,-4478.411313458581,-0.14177481823777807
Las Vegas Grand Prix,0.9572949945640654,-2470.1588316873786,-0.07819878409302773
Abu Dhabi Grand Prix,1.4799767398254198,-5883.054982870471,-0.1862421721677864
