Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance,Acceleration,v^2 (m^2/s^4),F_lost (N)
2023-05-06 20:35:37.004,11412,78.88888888888889,7,100,False,8,car,14.48,0 days 00:50:36.018000,879.1958333333332,3.2986111111111462,6223.456790123456,3645.9516408763407
2023-05-06 20:35:37.804,11660,80.83333333333333,7,100,False,8,car,15.28,0 days 00:50:36.818000,943.8625,1.3650058788948058,6534.027777777777,5232.6742669090645
2023-05-06 20:35:38.084,11749,81.11111111111111,7,100,False,8,car,15.56,0 days 00:50:37.098000,966.5736111111111,2.149470899470913,6579.0123456790125,4608.190222754211
2023-05-06 20:35:38.404,11839,82.22222222222221,7,100,False,8,car,15.88,0 days 00:50:37.418000,992.8847222222222,2.314814814814781,6760.493827160492,4432.877388298327
2023-05-06 20:35:38.564,11879,82.5,7,100,False,8,car,16.04,0 days 00:50:37.578000,1006.0847222222222,1.4655483405483665,6806.25,5137.770369062027
2023-05-06 20:35:38.844,11888,82.77777777777777,7,100,False,8,car,16.32,0 days 00:50:37.858000,1029.2625,0.3607503607503304,6852.160493827159,6038.227975342327
2023-05-06 20:35:43.645,11183,66.94444444444444,6,100,True,8,car,21.121,0 days 00:50:42.659000,1365.4294444444445,1.837534396346996,4481.558641975308,5846.706036426185
2023-05-06 20:35:45.084,11259,67.22222222222221,6,100,False,8,car,22.56,0 days 00:50:44.098000,1461.5075000000002,1.653439153439166,4518.827160493826,6018.935212728138
2023-05-06 20:35:45.284,11144,67.22222222222221,6,100,True,8,car,22.76,0 days 00:50:44.298000,1474.9519444444445,0.0,4518.827160493826,7315.79470016529
2023-05-06 20:35:49.484,11165,46.388888888888886,4,100,False,8,car,26.96,0 days 00:50:48.498000,1666.4297222222222,7.9966329966329965,2151.9290123456785,3984.103237944313
2023-05-06 20:35:49.684,11566,47.77777777777778,4,100,False,8,car,27.16,0 days 00:50:48.698000,1675.9852777777778,10.251322751322718,2282.716049382716,2174.3353266347003
2023-05-06 20:35:49.964,12103,51.94444444444444,4,100,False,8,car,27.44,0 days 00:50:48.978000,1690.529722222222,13.144841269841237,2698.225308641975,-627.9909850912227
2023-05-06 20:35:50.124,11683,53.888888888888886,4,100,False,8,car,27.6,0 days 00:50:49.138000,1699.1519444444443,10.859961096960497,2904.012345679012,553.5108466361908
2023-05-06 20:35:51.244,11298,63.33333333333333,5,100,False,8,car,28.72,0 days 00:50:50.258000,1767.523333333333,6.774559954130382,4011.1111111111104,2249.4308191244154
2023-05-06 20:35:51.724,11027,66.66666666666667,6,100,False,8,car,29.2,0 days 00:50:50.738000,1799.0566666666664,6.92791005291005,4444.444444444445,1549.146279084658
2023-05-06 20:35:52.004,11270,68.05555555555556,6,100,False,8,car,29.48,0 days 00:50:51.018000,1818.112222222222,5.307539682539698,4631.558641975309,2902.6590234920504
