Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance,Acceleration,v^2 (m^2/s^4),F_lost (N)
2023-03-04 15:15:09.167,12519,46.666666666666664,3,100,False,8,car,13.56,0 days 00:30:08.170000,818.882222222222,9.321581196581135,2177.7777777777774,4101.572651123372
2023-03-04 15:15:09.487,11368,49.44444444444444,3,100,False,8,car,13.88,0 days 00:30:08.490000,834.7044444444442,9.315994916485124,2444.753086419753,2413.840487182516
2023-03-04 15:15:09.847,12006,53.05555555555556,4,100,False,8,car,14.24,0 days 00:30:08.850000,853.8044444444442,6.790123456790127,2814.891975308642,4350.408664686184
2023-03-04 15:15:10.087,12068,54.166666666666664,4,100,False,8,car,14.48,0 days 00:30:09.090000,866.8044444444442,9.143518518518505,2934.0277777777774,2242.7572074757963
2023-03-04 15:15:10.247,11724,56.11111111111111,4,100,False,8,car,14.64,0 days 00:30:09.250000,875.782222222222,11.197916666666686,3148.4567901234564,-73.64896085810142
2023-03-04 15:15:10.887,11459,60.83333333333333,5,100,False,8,car,15.28,0 days 00:30:09.890000,914.7155555555553,5.696277605244973,3700.694444444444,3584.7181805233868
2023-03-04 15:15:11.167,11490,62.22222222222222,5,100,False,8,car,15.56,0 days 00:30:10.170000,932.1377777777776,6.117724867724888,3871.6049382716046,3071.3533705026284
2023-03-04 15:15:11.367,11754,63.61111111111111,5,100,False,8,car,15.76,0 days 00:30:10.370000,944.8599999999998,6.249999999999972,4046.373456790123,2966.7866857642166
2023-03-04 15:15:11.567,11915,64.72222222222221,5,100,False,8,car,15.96,0 days 00:30:10.570000,957.8044444444442,3.5563973063972725,4188.966049382715,5172.264743844771
2023-03-04 15:15:22.327,11209,50.83333333333333,4,100,False,8,car,26.72,0 days 00:30:21.330000,1616.5461111111108,12.511022927689453,2584.0277777777774,-653.281697523229
2023-03-04 15:15:22.527,11334,53.61111111111111,4,100,False,8,car,26.92,0 days 00:30:21.530000,1627.268333333333,10.995370370370253,2874.1512345679007,203.41353476885524
2023-03-04 15:15:22.807,11807,55.55555555555556,4,100,False,8,car,27.2,0 days 00:30:21.810000,1642.8238888888886,8.814102564102512,3086.41975308642,2063.053083394916
2023-03-04 15:15:23.207,11052,58.888888888888886,5,100,False,8,car,27.6,0 days 00:30:22.210000,1666.1794444444442,6.365740740740762,3467.9012345679007,2998.5412395247913
2023-03-04 15:15:23.447,11340,60.83333333333333,5,100,False,8,car,27.84,0 days 00:30:22.450000,1680.7794444444442,7.470538720538755,3700.694444444444,2025.7560509939294
2023-03-04 15:15:23.887,11705,63.61111111111111,5,100,False,8,car,28.28,0 days 00:30:22.890000,1708.7683333333332,5.916305916305916,4046.373456790123,3209.7592370643442
2023-03-04 15:15:24.727,11034,68.33333333333333,6,100,False,8,car,29.12,0 days 00:30:23.730000,1765.1683333333333,4.402578415736315,4669.444444444443,3471.660174451055
2023-03-04 15:15:25.047,11257,69.44444444444444,6,100,False,8,car,29.44,0 days 00:30:24.050000,1787.3905555555555,0.48076923076928324,4822.530864197531,6754.4590357414945
2023-03-04 15:15:27.766,11402,61.11111111111111,5,100,False,8,car,32.159,0 days 00:30:26.769000,1949.2430555555557,6.25,3734.567901234567,3046.18272509091
2023-03-04 15:15:28.847,11750,62.77777777777778,5,100,False,8,car,33.24,0 days 00:30:27.850000,2016.404722222222,4.513888888888914,3941.0493827160494,4513.18983284167
2023-03-04 15:15:29.007,11890,63.61111111111111,5,100,False,8,car,33.4,0 days 00:30:28.010000,2026.5825,5.439814814814881,4046.373456790123,3733.589801520243
2023-03-04 15:15:29.247,12061,65.0,5,100,False,8,car,33.64,0 days 00:30:28.250000,2042.1824999999997,5.166997354497326,4225.0,3899.8710562800406
2023-03-04 15:15:30.007,11035,68.33333333333333,6,100,False,8,car,34.4,0 days 00:30:29.010000,2093.338055555555,4.013347763347795,4669.444444444443,3795.3674198359645
2023-03-04 15:15:36.087,11767,38.61111111111111,2,100,False,8,car,40.48,0 days 00:30:35.090000,2298.707777777777,10.127314814814724,1490.8179012345677,5043.227494495148
2023-03-04 15:15:36.247,11077,40.0,3,100,False,8,car,40.64,0 days 00:30:35.250000,2305.1077777777773,11.612654320987517,1600.0,2582.1787019136937
2023-03-04 15:15:36.447,11557,43.05555555555556,3,100,False,8,car,40.84,0 days 00:30:35.450000,2313.7188888888886,13.068181818181742,1853.780864197531,998.7942671672172
2023-03-04 15:15:36.687,12363,45.55555555555556,3,100,False,8,car,41.08,0 days 00:30:35.690000,2324.652222222222,16.666666666666373,2075.308641975309,-1857.222864552603
2023-03-04 15:15:36.847,11523,48.888888888888886,3,100,False,8,car,41.24,0 days 00:30:35.850000,2332.474444444444,10.416666666666202,2390.1234567901233,1755.491658030689
2023-03-04 15:15:37.007,11205,48.888888888888886,3,100,False,8,car,41.4,0 days 00:30:36.010000,2340.2966666666666,5.49768518518507,2390.1234567901233,5551.201130387302
2023-03-04 15:15:37.327,11859,54.166666666666664,4,100,False,8,car,41.72,0 days 00:30:36.330000,2357.63,11.036706349206327,2934.0277777777774,501.1376575433642
2023-03-04 15:15:37.567,11992,55.83333333333333,4,100,False,8,car,41.96,0 days 00:30:36.570000,2371.0299999999997,7.402319902319874,3117.3611111111104,3334.3937742088337
2023-03-04 15:15:38.047,11082,59.72222222222222,5,100,False,8,car,42.44,0 days 00:30:37.050000,2399.23,7.561728395061863,3566.7438271604938,1912.4748103312122
2023-03-04 15:15:38.407,11472,61.94444444444444,5,100,False,8,car,42.8,0 days 00:30:37.410000,2421.53,6.707027540360798,3837.114197530864,2605.951638002781
2023-03-04 15:15:38.567,11472,63.05555555555556,5,100,False,8,car,42.96,0 days 00:30:37.570000,2431.6188888888887,6.746031746031598,3976.0030864197533,2429.564323569105
2023-03-04 15:15:38.967,12050,65.55555555555556,5,100,False,8,car,43.36,0 days 00:30:37.970000,2457.8411111111113,4.513888888888886,4297.530864197531,4365.152340866292
2023-03-04 15:15:39.526,11112,68.33333333333333,6,100,False,8,car,43.919,0 days 00:30:38.529000,2495.572777777778,4.909930814355818,4669.444444444443,3100.9303879871113
2023-03-04 15:15:39.726,11193,69.16666666666667,6,100,False,8,car,44.119,0 days 00:30:38.729000,2509.406111111111,4.233440170940128,4784.027777777778,3627.6375805293314
2023-03-04 15:15:40.046,11335,70.55555555555556,6,100,False,8,car,44.439,0 days 00:30:39.049000,2531.983888888889,2.1701388888888715,4978.086419753086,5288.414878127749
2023-03-04 15:15:57.687,11241,49.72222222222222,4,100,False,8,car,62.08,0 days 00:30:56.690000,3502.368611111111,6.6921889838557576,2472.2993827160494,4422.200965522626
2023-03-04 15:15:58.047,11944,53.33333333333333,4,100,False,8,car,62.44,0 days 00:30:57.050000,3521.568611111111,10.29795821462477,2844.444444444444,1335.5932518614409
2023-03-04 15:15:58.207,12072,55.0,4,100,False,8,car,62.6,0 days 00:30:57.210000,3530.3686111111106,10.12731481481466,3025.0,1280.4478891583767
2023-03-04 15:15:58.687,11062,58.05555555555556,5,100,False,8,car,63.08,0 days 00:30:57.690000,3558.235277777778,5.208333333333087,3370.4475308641977,4085.6726209890403
2023-03-04 15:15:58.847,11302,59.72222222222222,5,100,False,8,car,63.24,0 days 00:30:57.850000,3567.790833333333,10.108024691357969,3566.7438271604938,-38.38875652478964
2023-03-04 15:15:59.047,11417,61.666666666666664,5,100,False,8,car,63.44,0 days 00:30:58.050000,3580.1241666666665,7.986111111111228,3802.7777777777774,1541.7674891290326
2023-03-04 15:15:59.367,11743,63.33333333333333,5,100,False,8,car,63.76,0 days 00:30:58.370000,3600.3908333333334,5.306334608717364,4011.1111111111104,3778.128703185641
2023-03-04 15:16:00.606,11228,68.88888888888889,6,100,False,8,car,64.999,0 days 00:30:59.609000,3683.4588888888893,4.9492945326278175,4745.6790123456785,3084.6952527576223
2023-03-04 15:16:00.806,11382,70.0,6,100,False,8,car,65.199,0 days 00:30:59.809000,3697.4588888888893,3.433641975308575,4900.0,4325.604320493883
2023-03-04 15:16:00.966,11402,70.27777777777777,6,100,False,8,car,65.359,0 days 00:30:59.969000,3708.7033333333334,3.472222222222058,4938.966049382715,4277.779664330396
2023-03-04 15:16:01.126,11535,71.11111111111111,6,100,False,8,car,65.519,0 days 00:31:00.129000,3720.081111111111,3.5900875692279044,5056.790123456791,4178.585175353339
2023-03-04 15:16:01.367,11473,71.38888888888889,6,100,False,8,car,65.76,0 days 00:31:00.370000,3737.2858333333334,1.4032733362425631,5096.373456790123,5927.461381813615
2023-03-04 15:16:01.687,11664,71.94444444444444,6,100,False,8,car,66.08,0 days 00:31:00.690000,3760.308055555556,1.6453340595497679,5176.003086419752,5788.942431886434
2023-03-04 15:16:08.647,11008,48.61111111111111,4,100,False,8,car,73.04,0 days 00:31:07.650000,4158.818888888889,12.08983105912941,2363.04012345679,-41.32376719169406
2023-03-04 15:16:09.047,11728,53.33333333333333,4,100,False,8,car,73.44,0 days 00:31:08.050000,4180.152222222223,9.49074074074079,2844.444444444444,1826.8575251851453
2023-03-04 15:16:09.247,11438,55.0,4,100,False,8,car,73.64,0 days 00:31:08.250000,4191.152222222223,7.702020202020179,3025.0,2784.7446408080996
2023-03-04 15:16:09.927,11353,61.11111111111111,5,100,False,8,car,74.32,0 days 00:31:08.930000,4231.241111111111,7.72293871252225,3734.567901234567,1788.2594107883515
2023-03-04 15:16:10.287,11731,63.33333333333333,5,100,False,8,car,74.68,0 days 00:31:09.290000,4254.041111111112,7.908950617284063,4011.1111111111104,1609.5959550226498
2023-03-04 15:16:10.447,11944,64.72222222222221,5,100,False,8,car,74.84,0 days 00:31:09.450000,4264.3966666666665,7.291666666666771,4188.966049382715,2091.76441533611
2023-03-04 15:16:11.167,11141,68.88888888888889,6,100,False,8,car,75.56,0 days 00:31:10.170000,4312.985555555557,5.787037037037052,4745.6790123456785,2333.637138936667
2023-03-04 15:16:11.527,11408,70.55555555555556,6,100,False,8,car,75.92,0 days 00:31:10.530000,4338.3855555555565,4.410331384015635,4978.086419753086,3474.7139515819827
2023-03-04 15:16:11.927,11603,72.22222222222221,6,100,False,8,car,76.32,0 days 00:31:10.930000,4367.274444444445,3.7326388888888857,5216.049382716048,3991.6890271453017
2023-03-04 15:16:13.246,11013,76.66666666666667,7,100,False,8,car,77.639,0 days 00:31:12.249000,4465.965277777778,3.6706349206349103,5877.777777777778,3292.5420045686765
2023-03-04 15:16:13.526,11056,77.5,7,100,False,8,car,77.919,0 days 00:31:12.529000,4487.665277777778,2.8604497354496914,6006.25,3921.317596135896
2023-03-04 15:16:13.726,11160,78.05555555555556,7,100,False,8,car,78.119,0 days 00:31:12.729000,4503.276388888889,2.711004273504244,6092.66975308642,4059.3475974754624
2023-03-04 15:16:14.046,11211,78.88888888888889,7,100,False,8,car,78.439,0 days 00:31:13.049000,4528.520833333333,2.0388458773298908,6223.456790123456,4579.118687168303
2023-03-04 15:16:14.487,11303,79.44444444444444,7,100,False,8,car,78.88,0 days 00:31:13.490000,4563.555833333333,1.3486000513338467,6311.419753086419,5159.2713674628385
2023-03-04 15:16:14.687,11389,79.72222222222221,7,100,False,8,car,79.08,0 days 00:31:13.690000,4579.500277777777,1.7195767195767075,6355.632716049381,4877.08901836109
