Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance,Acceleration,v^2 (m^2/s^4),F_lost (N)
2023-07-22 14:38:30.802,11506,80.83333333333333,7,100,False,12,car,2.159,0 days 00:52:43.767000,175.13916666666668,2.083333333333286,6534.027777777777,4552.388132508631
2023-07-22 14:38:31.002,11600,81.38888888888889,7,100,False,12,car,2.359,0 days 00:52:43.967000,191.41694444444443,2.5673400673400693,6624.151234567901,4158.752849909791
2023-07-22 14:38:31.242,11269,81.94444444444444,7,100,False,12,car,2.599,0 days 00:52:44.207000,211.0836111111111,2.3148148148148096,6714.891975308642,4147.452135703708
2023-07-22 14:38:31.482,10402,82.5,8,100,False,12,car,2.839,0 days 00:52:44.447000,230.8836111111111,2.0061728395061635,6806.25,3898.992501189682
2023-07-22 14:38:31.842,10569,83.05555555555556,8,100,False,12,car,3.199,0 days 00:52:44.807000,260.7836111111111,0.5511463844797504,6898.225308641976,5158.178452186155
2023-07-22 14:38:32.042,10608,83.05555555555556,8,100,False,12,car,3.399,0 days 00:52:45.007000,277.39472222222224,0.551146384479722,6898.225308641976,5178.900333925309
2023-07-22 14:38:32.402,10717,83.61111111111111,8,100,False,12,car,3.759,0 days 00:52:45.367000,307.4947222222222,2.7006172839506064,6990.817901234568,3414.9188301349495
2023-07-22 14:38:32.642,10770,84.44444444444444,8,100,False,12,car,3.999,0 days 00:52:45.607000,327.7613888888889,2.314824799264642,7130.864197530864,3707.003887662979
2023-07-22 14:38:32.883,10799,84.72222222222221,8,100,False,12,car,4.24,0 days 00:52:45.848000,348.17944444444447,1.537243707384107,7177.854938271604,4349.048182674471
2023-07-22 14:38:33.163,10876,85.27777777777777,8,100,False,12,car,4.52,0 days 00:52:46.128000,372.05722222222226,1.636904761904816,7272.299382716048,4269.53112501314
2023-07-22 14:38:33.363,10858,85.55555555555556,8,100,False,12,car,4.72,0 days 00:52:46.328000,389.1683333333334,0.6944444444444855,7319.753086419753,5024.215455526661
2023-07-22 14:38:33.563,10925,85.55555555555556,8,100,False,12,car,4.92,0 days 00:52:46.528000,406.27944444444455,0.6944444444444287,7319.753086419753,5058.774351370865
2023-07-22 14:38:33.763,10945,85.83333333333333,8,100,False,12,car,5.12,0 days 00:52:46.728000,423.4461111111112,1.8097643097642901,7367.36111111111,4125.104791827678
2023-07-22 14:38:34.003,10961,86.38888888888889,8,100,False,12,car,5.36,0 days 00:52:46.968000,444.1794444444445,1.5432098765432158,7463.04012345679,4318.330392051124
2023-07-22 14:38:34.483,10936,86.38888888888889,8,100,False,12,car,5.84,0 days 00:52:47.448000,485.6461111111112,5.684341886080802e-14,7463.04012345679,5586.423869324712
2023-07-22 14:38:40.043,12272,46.666666666666664,3,100,False,14,car,11.4,0 days 00:52:53.008000,718.2991666666667,11.718749999999986,2177.7777777777774,1878.3491114285844
2023-07-22 14:38:40.283,10983,49.166666666666664,3,100,False,14,car,11.64,0 days 00:52:53.248000,730.0991666666666,10.937500000000007,2417.361111111111,779.7541416949098
2023-07-22 14:38:40.683,11502,53.888888888888886,4,100,False,12,car,12.04,0 days 00:52:53.648000,751.6547222222222,11.342592592592553,2904.012345679012,4.704722993541509
2023-07-22 14:38:40.883,12206,56.11111111111111,4,100,False,12,car,12.24,0 days 00:52:53.848000,762.8769444444443,10.00631313131312,3148.4567901234564,1294.4624701190205
2023-07-22 14:38:41.323,11185,59.44444444444444,5,100,False,12,car,12.68,0 days 00:52:54.288000,789.0324999999999,8.336339586339605,3533.6419753086416,1384.27690782411
2023-07-22 14:38:41.723,11744,63.05555555555556,5,100,False,12,car,13.08,0 days 00:52:54.688000,814.2547222222222,10.019841269841208,3976.0030864197533,-97.3362123823008
2023-07-22 14:38:41.883,11924,64.72222222222221,5,100,False,12,car,13.24,0 days 00:52:54.848000,824.6102777777778,9.154040404040344,4188.966049382715,532.3574957194769
2023-07-22 14:38:42.163,10944,66.66666666666667,6,100,False,12,car,13.52,0 days 00:52:55.128000,843.2769444444446,6.539351851851876,4444.444444444445,1816.707818962942
2023-07-22 14:38:42.483,11105,68.61111111111111,6,100,False,12,car,13.84,0 days 00:52:55.448000,865.2325,6.610576923076934,4707.484567901235,1655.8384607287353
2023-07-22 14:38:42.683,11218,70.0,6,100,False,12,car,14.04,0 days 00:52:55.648000,879.2325000000001,6.11772486772486,4900.0,1994.4253902645569
2023-07-22 14:38:42.963,11497,71.38888888888889,6,100,False,12,car,14.32,0 days 00:52:55.928000,899.2213888888889,5.307539682539698,5096.373456790123,2701.75621415353
2023-07-22 14:38:43.163,11635,72.5,6,100,False,12,car,14.52,0 days 00:52:56.128000,913.721388888889,4.869865898694229,5256.25,3040.104743164249
2023-07-22 14:38:43.362,11120,73.33333333333333,6,100,False,12,car,14.719,0 days 00:52:56.327000,928.3147222222224,4.17716191651661,5377.777777777777,3224.6582274730317
