Race,gradient,f_rr,c_rr
all,0.6357207404001184,1310.2223423832884,0.04147822105670118
Bahrain Grand Prix,0.834196027055192,375.2317673014273,0.0118788587922524
Saudi Arabian Grand Prix,-14.803699080750896,108778.2786524994,3.443636505166467
Australian Grand Prix,-0.19134724939931966,7531.233682702221,0.23841920979043507
Azerbaijan Grand Prix,0.509838558165721,2572.6321413794394,0.08144282173024861
Miami Grand Prix,-0.004311425236752514,6127.477620281509,0.1939799551820461
Canadian Grand Prix,1.6526068607773423,-5737.849361816487,-0.18164534103926425
Austrian Grand Prix,0.2203436025714402,4305.716404410193,0.13630774796950104
British Grand Prix,0.7191079000351172,1188.968053064115,0.03763962660310227
Belgian Grand Prix,1.4701966609613577,-4904.870008684986,-0.15527538791969742
Italian Grand Prix,1.198138993631727,-3249.3755469751595,-0.10286675236243785
Japanese Grand Prix,0.8257615512007697,379.11993143228966,0.012001947924613928
Brazilian Grand Prix,1.198138993631727,-3249.3755469751595,-0.10286675236243785
Las Vegas Grand Prix,0.9987830895213401,-1752.461118962739,-0.0554783469448319
Abu Dhabi Grand Prix,0.49004521159202147,3380.442280982896,0.1070159832147098
