Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Acceleration,v^2 (m^2/s^4),F_dissipated (N)
2023-03-04 15:23:51.608,11039,86.11111111111111,8,100,False,12,car,2.279,0 days 00:38:50.611000,0.6944444444444002,7415.123456790124,6320.761899641613
2023-03-04 15:23:51.808,11079,86.38888888888889,8,100,False,12,car,2.479,0 days 00:38:50.811000,1.522435897435841,7463.04012345679,5656.956144364792
2023-03-04 15:23:52.128,11103,86.94444444444444,8,100,False,12,car,2.799,0 days 00:38:51.131000,0.5787037037036953,7559.336419753086,6387.4968731511135
2023-03-04 15:23:52.288,11133,86.94444444444444,8,100,False,12,car,2.959,0 days 00:38:51.291000,0.36075036075037303,7559.336419753086,6581.4668861135215
2023-03-04 15:23:52.568,11173,87.22222222222221,8,100,False,12,car,3.239,0 days 00:38:51.571000,1.7043142043142154,7607.716049382715,5502.624517756356
2023-03-04 15:23:52.808,11210,87.77777777777777,8,100,False,12,car,3.479,0 days 00:38:51.811000,1.080246913580254,7704.938271604937,5984.110095327389
2023-03-04 15:23:53.168,11228,87.5,8,100,False,12,car,3.839,0 days 00:38:52.171000,0.5560094408133978,7656.25,6438.919066811882
2023-03-04 15:23:53.488,11280,88.05555555555556,8,100,False,12,car,4.159,0 days 00:38:52.491000,0.6677350427350461,7753.780864197531,6337.2240792418215
2023-03-04 15:23:53.688,11325,88.05555555555556,8,100,False,12,car,4.359,0 days 00:38:52.691000,0.6677350427350888,7753.780864197531,6364.649946749673
2023-03-04 15:23:54.008,11340,88.61111111111111,8,100,False,12,car,4.679,0 days 00:38:53.011000,1.3020833333333144,7851.929012345679,5819.810377481728
2023-03-04 15:23:54.328,11390,88.88888888888889,8,100,False,12,car,4.999,0 days 00:38:53.331000,0.9341931216931414,7901.234567901234,6124.687037037021
2023-03-04 15:23:54.608,11365,89.16666666666667,8,100,False,12,car,5.279,0 days 00:38:53.611000,1.0810948310948447,7950.694444444445,5969.961651622856
2023-03-04 15:46:36.933,11035,86.11111111111111,8,99,False,12,car,1.961,0 days 01:01:35.936000,1.3888888888888573,7415.123456790124,5759.241218638019
2023-03-04 15:46:37.093,11046,86.11111111111111,8,99,False,12,car,2.121,0 days 01:01:36.096000,0.6172839506172636,7415.123456790124,6387.238677817619
2023-03-04 15:46:37.293,11106,86.38888888888889,8,99,False,12,car,2.321,0 days 01:01:36.296000,2.0833333333333712,7463.04012345679,5222.206698820977
2023-03-04 15:46:37.493,11118,86.94444444444444,8,99,False,12,car,2.521,0 days 01:01:36.496000,1.234567901234584,7559.336419753086,5868.78498008124
2023-03-04 15:46:37.653,11153,86.94444444444444,8,99,False,12,car,2.681,0 days 01:01:36.656000,0.28935185185186185,7559.336419753086,6651.287733700146
2023-03-04 15:46:37.973,11190,87.22222222222221,8,99,False,12,car,3.001,0 days 01:01:36.976000,1.302083333333286,7607.716049382715,5836.88024150747
2023-03-04 15:46:38.293,11219,87.77777777777777,8,99,False,12,car,3.321,0 days 01:01:37.296000,1.7361111111110858,7704.938271604937,5461.64194796064
2023-03-04 15:46:38.453,11256,88.05555555555556,8,99,False,12,car,3.481,0 days 01:01:37.456000,1.041666666666714,7753.780864197531,6021.581992639289
2023-03-04 15:46:38.693,11286,88.05555555555556,8,99,False,12,car,3.721,0 days 01:01:37.696000,0.5787037037036669,7753.780864197531,6412.551089496466
2023-03-04 15:46:38.933,11321,88.33333333333333,8,99,False,12,car,3.961,0 days 01:01:37.936000,1.0810948310948163,7802.777777777777,6007.7601704026365
2023-03-04 15:46:39.213,11295,88.61111111111111,8,99,False,12,car,4.241,0 days 01:01:38.216000,0.8700517042893523,7851.929012345679,6140.341920366821
2023-03-04 15:46:39.612,11372,88.88888888888889,8,99,False,12,car,4.64,0 days 01:01:38.615000,0.9841782991647108,7901.234567901234,6073.581469172408
2023-03-04 15:46:39.852,11388,89.16666666666667,8,99,False,12,car,4.88,0 days 01:01:38.855000,0.6944444444444429,7950.694444444445,6295.058203530634
2023-03-04 15:46:40.372,11462,88.61111111111111,8,99,False,12,car,5.4,0 days 01:01:39.375000,0.8680555555556566,7851.929012345679,6243.091139846662
2023-03-04 15:46:40.532,11432,89.44444444444444,8,99,False,12,car,5.56,0 days 01:01:39.535000,3.130935422602036,8000.308641975308,4338.796984805362
2023-03-18 17:29:28.745,11009,85.83333333333333,8,100,False,12,car,0.0,0 days 00:44:28.641000,1.725327812284383,7367.36111111111,5494.408198489713
2023-03-18 17:29:28.906,11055,86.11111111111111,8,100,False,12,car,0.161,0 days 00:44:28.802000,2.426699383356663,7415.123456790124,4936.268286720466
2023-03-18 17:29:29.146,11149,86.94444444444444,8,100,False,12,car,0.401,0 days 00:44:29.042000,2.8935185185185333,7559.336419753086,4552.464557448811
2023-03-18 17:29:29.386,11219,87.5,8,100,False,12,car,0.641,0 days 00:44:29.282000,1.9675925925925526,7656.25,5297.074629629662
2023-03-18 17:29:29.546,11253,87.77777777777777,8,100,False,12,car,0.801,0 days 00:44:29.442000,1.8262987012986969,7704.938271604937,5409.828279631765
2023-03-18 17:29:29.826,11294,88.33333333333333,8,100,False,12,car,1.081,0 days 00:44:29.722000,1.7042731839764258,7802.777777777777,5489.697822748034
