Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Acceleration,F_dissipated (N),v^2 (m^2/s^4)
2023-03-04 15:25:09.209,10552,81.94444444444444,8,100,False,8,car,79.88,0 days 00:40:08.212000,1.1574074074073337,5978.95279974896,6714.891975308642
2023-03-04 15:47:54.052,10505,81.94444444444444,8,99,False,8,car,79.08,0 days 01:02:53.055000,1.1554621848739544,5949.737686939179,6714.891975308642
2023-03-04 15:47:54.332,10549,82.22222222222221,8,99,False,8,car,79.36,0 days 01:02:53.335000,0.9920634920634939,6086.749699699701,6760.493827160492
2023-03-18 17:30:23.266,10691,81.11111111111111,8,100,False,8,car,54.521,0 days 00:45:23.162000,1.8696581196580837,5568.559460250584,6579.0123456790125
2023-03-18 17:30:23.506,10563,81.94444444444444,8,100,False,8,car,54.761,0 days 00:45:23.402000,2.691056998259839,4751.568946909304,6714.891975308642
2023-03-18 17:30:23.905,10589,82.5,8,100,False,8,car,55.16,0 days 00:45:23.801000,1.4716651825728775,5703.507507826812,6806.25
2023-03-18 17:39:29.467,10526,82.5,8,100,False,8,car,32.6,0 days 00:54:29.363000,0.5260942760942555,6423.7102693602865,6806.25
2023-03-18 17:39:29.667,10589,82.5,8,100,False,8,car,32.8,0 days 00:54:29.563000,1.3888888888888573,5770.142424242448,6806.25
2023-03-18 17:39:29.867,10638,83.05555555555556,8,100,False,8,car,33.0,0 days 00:54:29.763000,3.163580246913625,4327.102516619147,6898.225308641976
2023-03-18 17:39:30.027,10638,83.61111111111111,8,100,False,8,car,33.16,0 days 00:54:29.923000,1.7361111111111995,5430.542183462461,6990.817901234568
2023-03-18 17:39:30.187,10708,83.61111111111111,8,100,False,8,car,33.32,0 days 00:54:30.083000,0.5787037037036953,6407.185378983641,6990.817901234568
2023-03-18 17:39:30.507,10738,84.16666666666667,8,100,False,8,car,33.64,0 days 00:54:30.403000,1.7361111111110858,5449.234515951614,7084.027777777778
2023-03-18 17:39:51.667,10738,83.88888888888889,8,99,False,8,car,54.8,0 days 00:54:51.563000,1.5658227006911432,5608.988222632371,7037.3456790123455
2023-04-01 05:47:19.828,10523,82.22222222222221,8,99,False,8,car,36.96,0 days 01:01:52.778000,1.7361111111110858,5470.821096096117,6760.493827160492
2023-04-01 05:47:20.068,10576,82.5,8,100,False,8,car,37.2,0 days 01:01:53.018000,0.4629629629629335,6507.056228956252,6806.25
2023-04-01 05:47:20.228,10580,82.5,8,100,False,8,car,37.36,0 days 01:01:53.178000,0.289351851851805,6649.415193602732,6806.25
2023-04-01 05:47:26.308,10563,81.11111111111111,8,100,False,8,car,36.08,0 days 01:01:59.258000,1.2464387464387414,5985.560644733251,6579.0123456790125
2023-04-01 05:47:26.788,10527,81.94444444444444,8,100,False,8,car,36.56,0 days 01:01:59.738000,1.3117283950617065,5838.351523331258,6714.891975308642
2023-04-01 05:47:27.148,10540,82.5,8,100,False,8,car,36.92,0 days 01:02:00.098000,1.649616686579062,5528.381799627086,6806.25
2023-04-28 13:07:06.349,10619,82.22222222222221,8,100,False,8,car,67.56,0 days 00:21:32.927000,0.98379629629639,6139.0939814814055,6760.493827160492
2023-04-28 13:07:06.589,10611,82.5,8,100,False,8,car,67.8,0 days 00:21:33.167000,0.5260942760943408,6479.003198653147,6806.25
2023-04-28 13:07:06.789,10765,82.5,8,100,False,8,car,68.0,0 days 00:21:33.367000,2.8675808514420282,4694.284283276036,6806.25
2023-04-28 13:07:06.950,10819,83.33333333333333,8,100,False,8,car,68.161,0 days 00:21:33.528000,2.2481594910235287,5157.667609726059,6944.444444444443
2023-04-28 13:07:07.350,10687,83.33333333333333,8,100,False,8,car,68.561,0 days 00:21:33.928000,0.6944444444443718,6323.4002222222825,6944.444444444443
2023-04-28 13:07:28.070,10558,82.22222222222221,8,100,False,8,car,89.281,0 days 00:21:54.648000,1.5658227006911147,5630.7478610787875,6760.493827160492
2023-04-28 13:07:29.230,10649,84.16666666666667,8,100,False,8,car,90.441,0 days 00:21:55.808000,1.0127314814814952,5974.80660295195,7084.027777777778
2023-04-28 13:07:29.510,10687,84.16666666666667,8,100,False,8,car,90.721,0 days 00:21:56.088000,1.104797979798036,5924.922774777433,7084.027777777778
2023-04-28 13:07:29.670,10761,84.44444444444444,8,100,False,8,car,90.881,0 days 00:21:56.248000,1.5817901234567842,5565.5576348278155,7130.864197530864
2023-04-28 13:07:29.870,11413,84.72222222222221,8,100,False,8,car,91.081,0 days 00:21:56.448000,1.3888888888888857,6111.425100182154,7177.854938271604
2023-04-28 13:07:30.070,11528,85.0,8,100,False,8,car,91.281,0 days 00:21:56.648000,1.2836700336700346,6245.10836799366,7225.0
2023-04-28 13:07:30.310,11350,85.27777777777777,8,100,False,8,car,91.521,0 days 00:21:56.888000,1.283670033670063,6109.381779247393,7272.299382716048
2023-04-28 13:07:30.510,11173,85.55555555555556,8,100,False,8,car,91.721,0 days 00:21:57.088000,1.1505991285402857,6082.285883343251,7319.753086419753
2023-04-28 13:07:30.990,11061,85.83333333333333,8,100,False,8,car,92.201,0 days 00:21:57.568000,1.5756385670599684,5647.42066225459,7367.36111111111
2023-04-28 13:07:31.349,11002,86.66666666666667,8,100,False,8,car,92.56,0 days 00:21:57.927000,1.2782923873039636,5783.751551297233,7511.111111111112
2023-04-28 13:07:31.789,11401,86.66666666666667,8,100,False,8,car,93.0,0 days 00:21:58.367000,0.954861111111029,6291.186805555621,7511.111111111112
2023-04-28 13:07:31.989,11001,86.94444444444444,8,100,False,8,car,93.2,0 days 00:21:58.567000,0.6944444444444287,6231.3658324458775,7559.336419753086
2023-04-28 13:07:32.189,11213,86.94444444444444,8,100,False,8,car,93.4,0 days 00:21:58.767000,0.5260942760942839,6497.745225954965,7559.336419753086
2023-04-28 13:07:32.429,10967,87.22222222222221,8,100,False,8,car,93.64,0 days 00:21:59.007000,0.9717270746682232,5965.608112535392,7607.716049382715
2023-04-28 13:07:32.869,11192,87.5,8,100,False,8,car,94.08,0 days 00:21:59.447000,0.30101850850959977,6622.10676731644,7656.25
2023-04-28 13:07:33.270,11162,87.5,8,100,False,8,car,94.481,0 days 00:21:59.848000,0.7240567400473026,6263.160990928589,7656.25
2023-04-28 13:07:33.510,10601,87.77777777777777,8,100,False,8,car,94.721,0 days 00:22:00.088000,0.2893518518517908,6248.442645335259,7704.938271604937
2023-04-28 13:07:33.830,11040,87.5,8,100,False,8,car,95.041,0 days 00:22:00.408000,0.12400793650792252,6671.373611111122,7656.25
2023-04-28 13:07:34.710,11264,87.22222222222221,8,100,False,8,car,95.921,0 days 00:22:01.288000,0.2517868745938898,6727.9001009837675,7607.716049382715
2023-04-28 13:07:35.110,11172,87.77777777777777,8,100,False,8,car,96.321,0 days 00:22:01.688000,0.46296296296299033,6457.790764181882,7704.938271604937
2023-04-28 13:07:36.470,11441,87.5,8,100,False,8,car,97.681,0 days 00:22:03.048000,0.7575757575757791,6407.298181818165,7656.25
2023-04-28 13:07:36.710,11650,87.5,8,100,False,8,car,97.921,0 days 00:22:03.288000,2.842170943040401e-14,7145.33333333331,7656.25
2023-04-28 13:44:54.197,10577,82.22222222222221,8,100,False,8,car,67.12,0 days 00:59:20.775000,1.8097643097642901,5446.776217126233,6760.493827160492
2023-04-28 13:44:54.437,10640,82.77777777777777,8,100,False,8,car,67.36,0 days 00:59:21.015000,1.96759259259278,5314.235613969524,6852.160493827159
2023-04-28 13:44:54.597,10677,83.05555555555556,8,100,False,8,car,67.52,0 days 00:59:21.175000,1.5844708298534158,5623.4855973526155,6898.225308641976
2023-04-28 13:44:54.796,10730,83.33333333333333,8,100,False,8,car,67.719,0 days 00:59:21.374000,0.7631170278118589,6295.810792611454,6944.444444444443
2023-04-28 13:44:55.036,10815,83.33333333333333,8,100,False,8,car,67.959,0 days 00:59:21.614000,1.5151515151515014,5745.1630303030415,6944.444444444443
2023-04-28 13:44:55.236,10772,83.88888888888889,8,100,False,8,car,68.159,0 days 00:59:21.814000,2.5673400673400977,4824.517735857446,7037.3456790123455
2023-04-28 13:44:55.476,10794,84.44444444444444,8,100,False,8,car,68.399,0 days 00:59:22.054000,1.497821350762564,5654.124865267715,7130.864197530864
2023-04-28 13:45:13.837,10545,81.66666666666667,8,100,False,8,car,86.76,0 days 00:59:40.415000,2.8439153439155405,4640.219576719419,6669.444444444445
2023-04-28 13:45:14.037,10614,82.5,8,100,False,8,car,86.96,0 days 00:59:40.615000,2.8163580246914535,4637.292396183986,6806.25
2023-04-28 13:45:14.197,10614,82.77777777777777,8,100,False,8,car,87.12,0 days 00:59:40.775000,1.8262987012986116,5411.120820622404,6852.160493827159
2023-04-28 13:45:14.477,10693,83.33333333333333,8,100,False,8,car,87.4,0 days 00:59:41.055000,1.453016849110199,5716.61343646629,6944.444444444443
2023-04-28 13:45:14.876,10740,83.61111111111111,8,100,False,8,car,87.799,0 days 00:59:41.454000,0.23244905065490684,6706.459909571637,6990.817901234568
2023-04-28 13:45:15.596,10758,83.33333333333333,8,100,False,8,car,88.519,0 days 00:59:42.174000,0.7215007215007745,6347.343919191877,6944.444444444443
2023-04-28 13:45:15.876,10778,83.88888888888889,8,100,False,8,car,88.799,0 days 00:59:42.454000,1.4872173392164996,5697.8549425929705,7037.3456790123455
2023-04-28 13:45:16.157,10849,84.16666666666667,8,100,False,8,car,89.08,0 days 00:59:42.735000,1.4648809635888256,5738.351022330797,7084.027777777778
2023-04-28 13:45:16.317,10841,84.44444444444444,8,100,False,8,car,89.24,0 days 00:59:42.895000,1.5817901234567842,5616.399740090973,7130.864197530864
2023-04-28 13:45:16.517,10841,84.72222222222221,8,100,False,8,car,89.44,0 days 00:59:43.095000,2.5462962962963616,4817.382956891266,7177.854938271604
2023-04-28 13:45:16.677,10955,85.27777777777777,8,100,False,8,car,89.6,0 days 00:59:43.255000,2.5462962962963616,4844.387833272959,7272.299382716048
2023-04-28 13:45:16.877,10971,85.55555555555556,8,100,False,8,car,89.8,0 days 00:59:43.455000,1.7195767195767644,5497.549831649795,7319.753086419753
2023-04-28 13:45:17.237,11069,86.38888888888889,8,100,False,8,car,90.16,0 days 00:59:43.815000,0.7716049382716079,6255.162847842481,7463.04012345679
2023-04-28 13:45:17.597,11065,86.11111111111111,8,100,False,8,car,90.52,0 days 00:59:44.175000,2.166429249762359,5152.018002328398,7415.123456790124
2023-04-28 13:45:17.757,11108,86.66666666666667,8,100,False,8,car,90.68,0 days 00:59:44.335000,2.5462962962960773,4828.646866097042,7511.111111111112
2023-04-28 13:45:17.997,11185,86.94444444444444,8,100,False,8,car,90.92,0 days 00:59:44.575000,1.1574074074073906,5972.255088155263,7559.336419753086
2023-04-28 13:45:18.237,11175,87.22222222222221,8,100,False,8,car,91.16,0 days 00:59:44.815000,0.5787037037036953,6409.971543996233,7607.716049382715
2023-04-28 13:45:18.477,11201,87.22222222222221,8,100,False,8,car,91.4,0 days 00:59:45.055000,0.30864197530867443,6643.368687583525,7607.716049382715
2023-04-28 13:45:18.837,11233,87.5,8,100,False,8,car,91.76,0 days 00:59:45.415000,2.061287477954295,5230.2369135801255,7656.25
2023-04-28 13:45:19.037,11254,88.05555555555556,8,100,False,8,car,91.96,0 days 00:59:45.615000,1.2345679012347546,5865.077571367221,7753.780864197531
2023-04-28 13:45:19.197,11290,88.05555555555556,8,100,False,8,car,92.12,0 days 00:59:45.775000,4.263256414560601e-14,6880.845425867474,7753.780864197531
2023-04-28 13:45:19.517,11308,88.05555555555556,8,100,False,8,car,92.44,0 days 00:59:46.095000,0.6613756613755868,6359.408365463314,7753.780864197531
2023-04-28 13:45:20.317,11291,88.05555555555556,8,100,False,8,car,93.24,0 days 00:59:46.895000,0.3631082062454283,6589.1527835623365,7753.780864197531
2023-04-28 13:45:20.677,11340,88.33333333333333,8,100,False,8,car,93.6,0 days 00:59:47.255000,1.003086419753032,6082.100337759187,7802.777777777777
2023-04-28 13:45:20.917,11365,88.61111111111111,8,100,False,8,car,93.84,0 days 00:59:47.495000,0.4629629629629335,6510.443341460607,7851.929012345679
2023-04-28 13:45:21.077,11361,88.61111111111111,8,100,False,8,car,94.0,0 days 00:59:47.655000,0.6172839506172352,6383.792375865978,7851.929012345679
2023-04-28 13:45:21.277,11381,88.88888888888889,8,100,False,8,car,94.2,0 days 00:59:47.855000,0.7561376866615319,6262.587912237467,7901.234567901234
2023-04-28 13:45:21.756,11373,88.88888888888889,8,100,False,8,car,94.679,0 days 00:59:48.334000,0.457875457875474,6497.859006410244,7901.234567901234
2023-04-28 13:45:22.036,11400,89.16666666666667,8,100,False,8,car,94.959,0 days 00:59:48.614000,0.6062610229277112,6373.268287758146,7950.694444444445
2023-04-28 13:45:22.476,11414,89.16666666666667,8,100,False,8,car,95.399,0 days 00:59:49.054000,0.9486283265592874,6106.088776559026,7950.694444444445
2023-04-28 13:45:22.677,11421,89.44444444444444,8,100,False,8,car,95.6,0 days 00:59:49.255000,0.9486283265592661,6088.954197119791,8000.308641975308
2023-05-06 20:38:53.604,10556,82.22222222222221,8,99,False,8,car,33.96,0 days 00:53:52.618000,2.3771367521368063,4976.334644259601,6760.493827160492
2023-05-06 20:38:53.804,10561,82.77777777777777,8,99,False,8,car,34.16,0 days 00:53:52.818000,1.3755341880342087,5739.625179974744,6852.160493827159
2023-05-06 20:38:54.124,10603,82.5,8,99,False,8,car,34.48,0 days 00:53:53.138000,0.26298261771724185,6685.60404324267,6806.25
2023-05-06 20:38:54.485,10666,83.05555555555556,8,99,False,8,car,34.841,0 days 00:53:53.499000,1.230946546923974,5900.964952803123,6898.225308641976
2023-05-06 20:38:54.765,10707,83.33333333333333,8,99,False,8,car,35.121,0 days 00:53:53.779000,1.223544973544989,5910.354296296284,6944.444444444443
2023-05-06 20:38:54.965,10727,83.61111111111111,8,99,False,8,car,35.321,0 days 00:53:53.979000,1.2836700336700915,5851.8828321979,6990.817901234568
2023-05-06 20:38:55.205,10727,83.88888888888889,8,99,False,8,car,35.561,0 days 00:53:54.219000,0.9717270746682658,6080.198115488072,7037.3456790123455
2023-05-06 20:39:26.844,10606,82.5,8,99,False,8,car,67.2,0 days 00:54:25.858000,1.7774470899470316,5468.411658249204,6806.25
2023-05-06 20:39:27.084,10615,82.77777777777777,8,100,False,8,car,67.44,0 days 00:54:26.098000,0.5275258251449202,6457.281308073775,6852.160493827159
