Time,Velocity,Acceleration,RPM
0.595,89.44444444444444,0.426413255360643,11439
1.075,90.0,0.9048821548821735,11463
6.595,35.55555555555556,10.466269841269842,10080
6.915,40.55555555555556,13.888888888888879,11183
7.235,44.44444444444444,12.549603174603192,11289
7.515,48.05555555555556,10.416666666666686,10737
7.795,50.27777777777778,11.724386724386704,11312
7.955,52.5,12.701804368471024,11522
8.315,56.11111111111111,9.832451499118179,10946
8.515,58.05555555555556,9.32158119658115,10849
8.835,60.83333333333333,6.047869298087406,11312
9.196,61.94444444444444,0.7857546197376308,11452
10.076,61.11111111111111,1.3888888888889142,11269
10.316,61.666666666666664,2.314814814814852,11619
10.676,62.5,4.306236383442254,11527
10.996,64.44444444444444,7.3784722222222,10771
11.316,67.22222222222221,6.983024691358011,10956
11.716,69.16666666666667,3.8194444444444713,11199
12.116,70.27777777777777,2.8944911297852514,11450
12.396,71.11111111111111,4.505702671530912,11600
12.635,72.5,4.9159076299734465,11660
12.835,73.33333333333333,4.377104377104359,10615
24.596,34.72222222222222,14.295889295889438,10214
24.836,40.27777777777778,18.097643097643115,11173
25.036,43.05555555555556,12.235449735449627,11815
25.316,45.833333333333336,3.6075036075036166,10955
25.476,45.833333333333336,10.648148148148039,10882
25.716,52.22222222222222,17.539173789173617,11469
25.996,54.166666666666664,8.019458907858642,12027
26.475,58.888888888888886,9.956906428384713,10998
26.835,62.5,5.490265906932564,11524
26.995,63.05555555555556,4.013347763347809,11841
27.275,64.44444444444444,8.521571021570935,11264
27.515,67.22222222222221,6.712962962962905,10862
27.675,67.77777777777777,4.303181386514787,10979
28.035,70.0,3.8580246913580254,11346
28.275,70.55555555555556,4.050925925925895,11440
28.515,71.94444444444444,3.1160968660968393,11669
28.795,71.94444444444444,6.572677380130926,11880
28.956,73.61111111111111,8.106759414167243,11898
29.316,74.72222222222221,2.6234567901234414,11969
29.556,75.27777777777777,1.9675925925925526,12096
36.076,38.61111111111111,10.995370370370281,10899
40.115,43.05555555555556,10.174951601451951,11485
40.435,45.833333333333336,12.152777777777757,11642
40.755,50.83333333333333,11.987433862433946,11280
40.995,53.05555555555556,10.995370370370395,11896
41.235,56.11111111111111,11.090067340067236,11210
41.435,58.05555555555556,9.005731922398532,10907
41.795,60.83333333333333,9.585707502374305,11363
41.955,62.5,10.384417548680148,11553
42.116,64.16666666666667,8.519164620080772,11888
42.356,65.55555555555556,7.523148148148209,10628
42.516,66.94444444444444,6.966991341991445,10945
42.796,68.05555555555556,6.194037444037377,11168
43.036,70.0,6.3657407407406765,11368
43.276,71.11111111111111,5.246913580246883,11461
43.636,73.33333333333333,5.20265976761074,11285
43.956,74.72222222222221,4.233440170940298,10696
44.156,75.55555555555556,4.083994708994794,10814
44.436,76.66666666666667,3.6525974025973937,10972
44.596,77.22222222222221,3.4722222222222285,11139
44.836,78.05555555555556,2.430555555555543,11149
44.996,78.33333333333333,2.187049062049013,11264
45.276,79.16666666666667,2.8944911297852514,11362
45.676,80.27777777777777,2.083333333333343,11424
46.076,80.83333333333333,3.257814298724327,11572
46.275,81.66666666666667,2.099049969983696,10416
46.875,81.66666666666667,0.5511463844796936,10563
47.235,82.22222222222221,1.7010381593714925,10563
47.675,83.05555555555556,3.456439393939263,10719
47.875,83.88888888888889,3.231837606837516,10740
48.195,84.44444444444444,2.066798941798936,10816
48.435,85.0,2.2261994663771247,10855
48.836,85.83333333333333,0.5926953264492454,10951
48.996,85.83333333333333,0.46296296296301875,11035
49.236,86.11111111111111,0.46296296296299033,11064
49.396,86.11111111111111,1.4210854715202004e-14,11003
50.636,86.11111111111111,1.4210854715202004e-14,11105
54.675,35.27777777777778,13.888888888888829,10648
54.875,38.61111111111111,16.191795423624107,11143
55.276,44.72222222222222,13.868129129250619,11919
55.676,49.72222222222222,14.09143518518539,10611
55.916,53.33333333333333,12.422839506173027,11869
56.276,56.388888888888886,9.645061728394992,11467
56.636,60.27777777777778,9.215167548501,11220
56.836,61.94444444444444,6.597222222222257,11484
56.996,62.77777777777778,6.65509259259251,11854
57.316,65.83333333333333,7.399140211640258,11480
57.556,67.22222222222221,5.632716049382822,10866
57.916,69.16666666666667,6.461176088369001,11250
58.316,72.22222222222221,6.249999999999943,11628
58.716,74.16666666666667,3.9667508417508657,10603
59.196,75.55555555555556,4.825431634642143,10894
59.476,77.22222222222221,4.965667037434969,11060
59.755,78.33333333333333,3.48746810059302,11198
60.155,79.44444444444444,3.258778258778264,11359
60.595,81.11111111111111,2.1385732323232105,11517
60.795,81.38888888888889,1.8097643097642901,11608
61.035,81.94444444444444,3.0779405779405806,10593
61.315,83.05555555555556,2.9265873015873325,10640
61.635,83.61111111111111,2.3907469526537,10756
61.916,84.44444444444444,2.390746952653714,10845
62.236,85.0,1.7361111111110858,10951
62.396,85.27777777777777,1.5817901234567557,10987
62.596,85.55555555555556,2.083333333333343,10991
62.796,86.11111111111111,2.3368606701939996,11017
63.156,86.66666666666667,1.3117283950617207,11097
63.396,86.94444444444444,1.7361111111110858,11164
63.636,87.5,1.9434541493365032,11157
64.076,88.05555555555556,1.1945434739551786,11206
64.316,88.33333333333333,1.3117283950617207,11298
64.676,88.88888888888889,1.1857752360203904,11269
64.996,89.16666666666667,0.4595588235294201,11374
65.356,89.16666666666667,1.116071428571388,11382
65.636,89.72222222222221,0.9157509157508912,11434
65.876,89.72222222222221,0.30864197530868864,11447
66.236,90.0,0.9941369630849692,11446
66.675,90.55555555555556,0.5701888180271055,11502
67.035,90.55555555555556,0.2840909090909065,11516
80.635,38.05555555555556,9.953703703704122,10883
80.835,40.27777777777778,12.098311546841337,10603
81.315,47.22222222222222,12.509283318487434,10486
81.556,50.0,9.781276887579935,11246
