Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Acceleration,v^2 (m^2/s^4),F_dissipated (N)
2023-03-04 15:24:42.329,11004,86.66666666666667,8,100,False,12,car,2.841,0 days 00:39:41.332000,1.5817901234567557,7511.111111111112,5540.674335232696
2023-03-04 15:24:42.489,11004,86.94444444444444,8,99,False,12,car,3.001,0 days 00:39:41.492000,1.4467592592592595,7559.336419753086,5627.604163708436
2023-03-04 15:24:42.969,11063,87.22222222222221,8,100,False,12,car,3.481,0 days 00:39:41.972000,1.1505991285403638,7607.716049382715,5880.683625091888
2023-03-04 15:24:43.169,11121,87.5,8,100,False,12,car,3.681,0 days 00:39:42.172000,0.7575757575757507,7656.25,6211.031515151521
2023-03-04 15:24:43.409,11099,87.5,8,100,False,12,car,3.921,0 days 00:39:42.412000,0.3738576312754134,7656.25,6506.4312734899595
2023-03-04 15:24:43.728,11109,87.77777777777777,8,100,False,12,car,4.24,0 days 00:39:42.731000,0.3738576312754276,7704.938271604937,6491.0028346713825
2023-03-04 15:24:43.968,11157,87.77777777777777,8,99,False,12,car,4.48,0 days 00:39:42.971000,0.7575757575757507,7704.938271604937,6211.45657844266
2023-03-04 15:24:44.168,11144,88.05555555555556,8,100,False,12,car,4.68,0 days 00:39:43.171000,0.6172839506173204,7753.780864197531,6294.950142150534
2023-03-04 15:24:44.528,11170,88.05555555555556,8,99,False,12,car,5.04,0 days 00:39:43.531000,0.6944444444444287,7753.780864197531,6248.682001402047
2023-03-04 15:24:44.728,11223,88.33333333333333,8,99,False,12,car,5.24,0 days 00:39:43.731000,0.520833333333357,7802.777777777777,6399.231053459101
2023-03-04 15:24:45.408,11173,88.05555555555556,8,100,False,12,car,5.92,0 days 00:39:44.411000,0.5580357142856656,7753.780864197531,6360.319420347042
2023-03-04 15:47:05.933,11028,86.94444444444444,8,100,False,14,car,3.321,0 days 01:02:04.936000,1.6098484848484986,7559.336419753086,5511.131394617087
2023-03-04 15:47:06.093,11067,87.22222222222221,8,100,False,14,car,3.481,0 days 01:02:05.096000,1.7415876943366015,7607.716049382715,5407.398976122731
2023-03-04 15:47:06.252,11119,87.5,8,100,False,14,car,3.64,0 days 01:02:05.255000,0.8762533160711428,7656.25,6114.269413896063
2023-03-04 15:47:06.412,11101,87.5,8,100,False,14,car,3.8,0 days 01:02:05.415000,0.28935185185184764,7656.25,6575.6850925925955
2023-03-04 15:47:06.732,11145,87.77777777777777,8,100,False,14,car,4.12,0 days 01:02:05.735000,1.033399470899468,7704.938271604937,5982.081780356308
2023-03-04 15:47:06.972,11206,88.05555555555556,8,100,False,14,car,4.36,0 days 01:02:05.975000,1.033399470899468,7753.780864197531,5997.7638991120475
2023-03-04 15:47:07.292,11238,88.33333333333333,8,100,False,14,car,4.68,0 days 01:02:06.295000,0.9341931216931414,7802.777777777777,6075.589631376644
2023-03-04 15:47:07.572,11235,88.61111111111111,8,100,False,14,car,4.96,0 days 01:02:06.575000,0.36075036075038724,7851.929012345679,6513.990943921957
2023-03-04 15:47:07.732,11256,88.61111111111111,8,100,False,14,car,5.12,0 days 01:02:06.735000,0.5787037037036669,7851.929012345679,6351.256998142372
