Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance,Acceleration,v_squared,F_lost
2023-07-28 16:16:04.923,11459,86.11111111111111,8,100,False,8,car,87.44,0 days 01:31:04.903000,5763.495555555558,0.9645061728394921,7415.123456790124,5071.929753446448
2023-07-28 16:16:05.083,11507,86.38888888888889,8,100,False,8,car,87.6,0 days 01:31:05.063000,5777.31777777778,1.439339981006711,7463.04012345679,4683.45493576443
2023-07-28 16:16:05.963,11570,86.94444444444444,8,100,False,8,car,88.48,0 days 01:31:05.943000,5853.7288888888925,5.684341886080802e-14,7559.336419753086,5872.523907987173
2023-07-28 16:16:06.123,11529,86.94444444444444,8,100,False,8,car,88.64,0 days 01:31:06.103000,5867.640000000003,0.0,7559.336419753086,5851.713754121405
2023-07-28 16:16:06.843,11531,86.66666666666667,8,100,False,8,car,89.36,0 days 01:31:06.823000,5930.162222222225,0.7440476190477057,7511.111111111112,5253.928106190404
2023-07-28 16:16:07.003,11552,86.94444444444444,8,100,False,8,car,89.52,0 days 01:31:06.983000,5944.0733333333355,1.157407407407419,7559.336419753086,4902.739594727242
2023-07-28 16:16:11.203,11481,86.66666666666667,8,100,False,8,car,93.72,0 days 01:31:11.183000,6308.629166666669,1.2235449735449606,7511.111111111112,4830.485725034605
2023-07-28 16:16:11.403,11490,86.94444444444444,8,100,False,8,car,93.92,0 days 01:31:11.383000,6326.018055555558,1.1684303350969714,7559.336419753086,4862.121551581974
2023-07-28 16:16:11.763,11563,87.22222222222221,8,100,False,8,car,94.28,0 days 01:31:11.743000,6357.418055555558,0.2755731922398468,7607.716049382715,5621.554215026916
2023-07-28 16:16:11.963,11526,87.22222222222221,8,100,False,8,car,94.48,0 days 01:31:11.943000,6374.862500000002,7.105427357601002e-15,7607.716049382715,5831.559878216555
2023-07-28 16:14:12.043,11044,83.05555555555556,8,100,False,8,car,16.201,0 days 01:29:12.023000,920.1977777777774,2.0412457912457853,6898.225308641976,4173.777837546934
2023-07-28 16:14:13.603,11255,85.0,8,100,False,8,car,17.761,0 days 01:29:13.583000,1052.1866666666663,0.39682539682539186,7225.0,5513.957269654533
2023-07-28 16:14:13.803,11260,85.27777777777777,8,100,False,8,car,17.961,0 days 01:29:13.783000,1069.2422222222222,0.8536715906657975,7272.299382716048,5118.328728281591
2023-07-28 16:14:15.842,11026,83.05555555555556,8,100,False,8,car,20.0,0 days 01:29:15.822000,1239.9458333333332,0.6172839506172778,6898.225308641976,5346.102219850535
2023-07-28 16:14:16.202,11001,82.77777777777777,8,100,False,8,car,20.36,0 days 01:29:16.182000,1269.7458333333332,0.7716049382716079,6852.160493827159,5224.347189019802
2023-07-28 16:14:16.562,11134,83.61111111111111,8,100,False,8,car,20.72,0 days 01:29:16.542000,1299.8458333333333,1.323930946404218,6990.817901234568,4777.66103488317
2023-07-28 16:14:17.043,11079,83.61111111111111,8,100,False,8,car,21.201,0 days 01:29:17.023000,1340.0627777777777,0.0,6990.817901234568,5847.494727707642
2023-07-28 16:14:17.443,11121,83.61111111111111,8,100,False,8,car,21.601,0 days 01:29:17.423000,1373.5072222222223,0.925925925925867,6990.817901234568,5101.143803607776
2023-07-28 16:14:17.643,11122,83.88888888888889,8,100,False,8,car,21.801,0 days 01:29:17.623000,1390.285,1.2836700336699778,7037.3456790123455,4785.3062784115355
2023-07-28 16:14:17.883,11143,84.16666666666667,8,100,False,8,car,22.041,0 days 01:29:17.863000,1410.485,0.9837962962962905,7084.027777777778,5025.902703381009
2023-07-28 16:14:18.803,11269,84.72222222222221,8,100,False,8,car,22.961,0 days 01:29:18.783000,1488.3183333333334,0.8318070818070851,7177.854938271604,5179.373195673891
2023-07-28 16:15:01.922,11038,83.05555555555556,8,100,False,8,car,66.08,0 days 01:30:01.902000,4337.431388888888,0.0,6898.225308641976,5864.8238624749165
2023-07-28 16:15:21.242,11017,82.5,8,100,False,8,car,85.4,0 days 01:30:21.222000,5530.809166666667,1.3442024645233914,6806.25,4777.396506364777
2023-07-28 16:15:21.682,11095,83.33333333333333,8,100,False,8,car,85.84,0 days 01:30:21.662000,5567.475833333333,1.417359873242276,6944.444444444443,4699.050629208911
2023-07-28 16:15:21.922,11094,83.61111111111111,8,100,False,8,car,86.08,0 days 01:30:21.902000,5587.5425,1.283670033670063,6990.817901234568,4789.965597768133
2023-07-28 16:15:22.122,11169,83.88888888888889,8,100,False,8,car,86.28,0 days 01:30:22.102000,5604.320277777778,1.1684303350969856,7037.3456790123455,4905.67968094235
2023-07-28 16:15:22.482,11230,84.16666666666667,8,100,False,8,car,86.64,0 days 01:30:22.462000,5634.620277777778,1.2786169525502942,7084.027777777778,4826.81705413573
2023-07-28 16:15:22.803,11249,84.72222222222221,8,100,False,8,car,86.961,0 days 01:30:22.783000,5661.816111111111,1.733411106953099,7177.854938271604,4420.624296769912
2023-07-28 16:15:23.123,11286,85.27777777777777,8,100,False,8,car,87.281,0 days 01:30:23.103000,5689.1050000000005,0.6677350427349324,7272.299382716048,5286.1106616309835
2023-07-28 16:15:23.323,11296,85.27777777777777,8,100,False,8,car,87.481,0 days 01:30:23.303000,5706.160555555555,0.9645061728394353,7272.299382716048,5044.965469246852
2023-07-28 16:15:23.483,11333,85.55555555555556,8,100,False,8,car,87.641,0 days 01:30:23.463000,5719.849444444445,1.5817901234567557,7319.753086419753,4532.725639349074
2023-07-28 16:15:23.683,11388,85.83333333333333,8,100,False,8,car,87.841,0 days 01:30:23.663000,5737.016111111111,0.9548611111111569,7367.36111111111,5062.436316224342
2023-07-28 16:15:24.123,11398,85.83333333333333,8,100,False,8,car,88.281,0 days 01:30:24.103000,5774.782777777778,1.2731481481481524,7367.36111111111,4803.399426939947
2023-07-28 16:15:24.283,11432,86.11111111111111,8,100,False,8,car,88.441,0 days 01:30:24.263000,5788.560555555556,0.964506172839549,7415.123456790124,5058.092884027045
2023-07-28 16:15:24.843,11396,86.11111111111111,8,100,False,8,car,89.001,0 days 01:30:24.823000,5836.782777777778,0.558035714285694,7415.123456790124,5377.014205400938
2023-07-28 16:15:25.123,11450,86.38888888888889,8,100,False,8,car,89.281,0 days 01:30:25.103000,5860.971666666667,0.3607503607503446,7463.04012345679,5549.567078390719
2023-07-28 16:15:26.083,11424,86.11111111111111,8,100,False,8,car,90.241,0 days 01:30:26.063000,5943.638333333333,0.0,7415.123456790124,5854.533194322581
2023-07-28 16:15:26.963,11465,86.38888888888889,8,100,False,8,car,91.121,0 days 01:30:26.943000,6019.527222222222,0.2604166666666856,7463.04012345679,5640.506476634497
2023-07-28 16:15:27.203,11466,86.38888888888889,8,100,False,8,car,91.361,0 days 01:30:27.183000,6040.2605555555565,0.457875457875474,7463.04012345679,5477.126508741492
2023-07-28 16:15:27.483,11479,86.66666666666667,8,100,False,8,car,91.641,0 days 01:30:27.463000,6064.527222222223,0.49603174603174693,7511.111111111112,5433.30332079365
2023-07-28 16:15:28.042,11511,86.38888888888889,8,100,False,8,car,92.2,0 days 01:30:28.022000,6112.896388888889,0.39326961369971514,7463.04012345679,5553.736655870394
2023-07-28 16:15:29.563,11386,85.55555555555556,8,100,False,8,car,93.721,0 days 01:30:29.543000,6243.359444444444,0.9920634920634939,7319.753086419753,5049.5363774314565
