Race,gradient,f_rr,c_rr
all,0.32616733720106333,3502.497905151764,0.11087994583900836
Saudi Arabian Grand Prix,-1.0234604659914315,12248.357382592088,0.38775103939420696
Azerbaijan Grand Prix,0.9469615871222166,-755.552604599196,-0.023918824263465345
Miami Grand Prix,-2.3093366379030784,21438.444820410423,0.6786852312069197
Austrian Grand Prix,3.1584159966710446,-16390.628183016226,-0.51888452596274
British Grand Prix,-0.06397112378924866,6583.870650000571,0.2084281677968536
Belgian Grand Prix,0.5939019733536883,1980.2647631967363,0.06269001599321064
Italian Grand Prix,1.192749126263983,-3333.788371522097,-0.10553904215884718
Japanese Grand Prix,1.1417161044239097,-1998.1756273025787,-0.0632570272222722
Brazilian Grand Prix,1.192749126263983,-3333.788371522097,-0.10553904215884718
Las Vegas Grand Prix,0.842417660181631,-632.7116684841899,-0.020030000711790792
Abu Dhabi Grand Prix,1.8834054784915888,-6637.62045053198,-0.21012974625119443
