Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Acceleration,F_dissipated (N),v^2 (m^2/s^4)
2023-04-28 14:26:05.604,11018,85.83333333333333,8,100,False,8,car,87.6,0 days 01:40:32.182000,1.1160714285714164,5990.486771844671,7367.36111111111
2023-04-28 14:26:05.924,11112,86.66666666666667,8,100,False,8,car,87.92,0 days 01:40:32.502000,1.3786764705881893,5771.057748868815,7511.111111111112
2023-04-28 14:26:06.284,11125,86.66666666666667,8,100,False,8,car,88.28,0 days 01:40:32.862000,0.8928571428570535,6170.19230769238,7511.111111111112
2023-04-28 14:26:06.484,11146,86.94444444444444,8,100,False,8,car,88.48,0 days 01:40:33.062000,1.5817901234567557,5606.554158285043,7559.336419753086
2023-04-28 14:26:06.644,11187,87.22222222222221,8,100,False,8,car,88.64,0 days 01:40:33.222000,1.041666666666572,6044.669798301563,7607.716049382715
2023-04-28 14:26:06.884,11171,87.22222222222221,8,100,False,8,car,88.88,0 days 01:40:33.462000,2.842170943040401e-14,6873.36687898087,7607.716049382715
2023-04-28 14:26:07.084,11185,87.22222222222221,8,100,False,8,car,89.08,0 days 01:40:33.662000,0.2755731922398894,6660.144471966636,7607.716049382715
2023-04-28 14:26:07.444,11244,87.5,8,100,False,8,car,89.44,0 days 01:40:34.022000,1.2822258533042827,5864.128188090052,7656.25
2023-04-28 14:26:07.764,11237,88.05555555555556,8,100,False,8,car,89.76,0 days 01:40:34.342000,0.08267195767186308,6781.992922654592,7753.780864197531
2023-04-28 14:26:08.284,11239,88.05555555555556,8,100,False,8,car,90.28,0 days 01:40:34.862000,0.5835667600373853,6379.991534195141,7753.780864197531
2023-04-28 14:26:08.884,11239,88.05555555555556,8,100,False,8,car,90.88,0 days 01:40:35.462000,0.6944444444444002,6290.734998247494,7753.780864197531
2023-04-28 14:26:09.084,11297,88.33333333333333,8,100,False,8,car,91.08,0 days 01:40:35.662000,0.7575757575757223,6253.6118925100345,7802.777777777777
2023-04-28 14:26:09.324,11320,88.33333333333333,8,100,False,8,car,91.32,0 days 01:40:35.902000,1.0416666666666288,6038.892295597516,7802.777777777777
2023-04-28 14:26:09.484,11317,88.61111111111111,8,100,False,8,car,91.48,0 days 01:40:36.062000,0.5835062240662694,6384.335169877436,7851.929012345679
2023-04-28 14:26:09.725,11325,88.33333333333333,8,100,False,8,car,91.721,0 days 01:40:36.303000,0.5835062240663547,6410.749187739792,7802.777777777777
2023-04-28 14:26:09.885,11343,88.61111111111111,8,100,False,8,car,91.881,0 days 01:40:36.463000,1.104797979798036,5980.442014977314,7851.929012345679
2023-04-28 14:26:10.165,11332,88.61111111111111,8,100,False,8,car,92.161,0 days 01:40:36.743000,2.842170943040401e-14,6863.142319749193,7851.929012345679
2023-04-28 14:26:10.405,11335,88.61111111111111,8,100,False,8,car,92.401,0 days 01:40:36.983000,0.2228163992869696,6685.592046222893,7851.929012345679
