Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Acceleration,F_dissipated (N),v^2 (m^2/s^4)
2023-03-04 16:04:38.776,10504,78.61111111111111,8,99,False,8,car,76.921,0 days 01:19:37.779000,2.7777777777778283,4934.817510796976,6179.706790123458
2023-03-04 16:04:38.976,10526,79.16666666666667,8,99,False,8,car,77.121,0 days 01:19:37.979000,2.304292929293048,5280.564191919097,6267.361111111112
2023-03-04 16:04:39.416,10590,79.72222222222221,8,99,False,8,car,77.561,0 days 01:19:38.419000,2.3042929292930125,5273.922240699614,6355.632716049381
2023-03-04 16:04:39.616,10657,80.27777777777777,8,99,False,8,car,77.761,0 days 01:19:38.619000,1.5151515151517003,5904.636594316722,6444.521604938271
2023-03-04 16:04:39.856,10683,80.27777777777777,8,99,False,8,car,78.001,0 days 01:19:38.859000,1.0416666666667993,6303.173212225961,6444.521604938271
2023-03-04 16:04:40.016,10716,80.55555555555556,8,99,False,8,car,78.161,0 days 01:19:39.019000,1.6779677277387748,5788.309082618563,6489.197530864198
2023-03-04 16:04:40.375,10751,81.11111111111111,8,99,False,8,car,78.52,0 days 01:19:39.378000,0.47707391485067774,6729.2883752575335,6579.0123456790125
2023-03-04 16:04:40.535,10791,81.11111111111111,8,99,False,8,car,78.68,0 days 01:19:39.538000,0.3607503607504299,6849.3945897328895,6579.0123456790125
2023-03-04 16:04:40.815,10806,81.38888888888889,8,99,False,8,car,78.96,0 days 01:19:39.818000,1.2235449735449606,6140.3677980027915,6624.151234567901
2023-03-04 16:04:41.015,10861,81.66666666666667,8,99,False,8,car,79.16,0 days 01:19:40.018000,0.6944444444444571,6578.2007936507825,6669.444444444445
2023-03-04 16:04:41.215,10817,81.66666666666667,8,99,False,8,car,79.36,0 days 01:19:40.218000,0.5260942760942555,6684.808393458409,6669.444444444445
2023-03-04 16:04:41.455,10878,81.94444444444444,8,99,False,8,car,79.6,0 days 01:19:40.458000,0.5260942760943124,6700.6622433372995,6714.891975308642
2023-03-04 16:08:06.897,10505,79.44444444444444,8,99,False,8,car,78.041,0 days 01:23:05.900000,1.4880952380952124,5898.46794871797,6311.419753086419
2023-03-04 16:08:07.177,10649,79.72222222222221,8,99,False,8,car,78.321,0 days 01:23:06.180000,1.7043142043141302,5796.622187478344,6355.632716049381
2023-03-04 16:08:07.417,10604,80.27777777777777,8,99,False,8,car,78.561,0 days 01:23:06.420000,1.7071759259258243,5714.62580177504,6444.521604938271
2023-03-04 16:08:07.817,10670,80.55555555555556,8,99,False,8,car,78.961,0 days 01:23:06.820000,0.6944444444444429,6549.399808429121,6489.197530864198
2023-03-04 16:08:08.217,10754,80.83333333333333,8,99,False,8,car,79.361,0 days 01:23:07.220000,1.162840962370808,6203.682097456449,6534.027777777777
2023-03-04 16:08:08.416,10741,81.11111111111111,8,99,False,8,car,79.56,0 days 01:23:07.419000,1.392387305505565,5985.844657424184,6579.0123456790125
2023-03-04 16:08:08.616,10757,81.38888888888889,8,99,False,8,car,79.76,0 days 01:23:07.619000,0.9548611111111072,6324.348409651121,6624.151234567901
2023-03-18 17:58:31.070,10522,79.44444444444444,8,100,False,8,car,30.839,0 days 01:13:30.966000,1.215277777777743,6129.569920357448,6311.419753086419
2023-03-18 17:58:31.350,10552,79.44444444444444,8,100,False,8,car,31.119,0 days 01:13:31.246000,1.4880952380952124,5930.21759906762,6311.419753086419
2023-03-18 17:58:31.630,10676,80.27777777777777,8,100,False,8,car,31.399,0 days 01:13:31.526000,3.2918470418470065,4487.098425430808,6444.521604938271
2023-03-18 17:58:31.790,10678,80.83333333333333,8,100,False,8,car,31.559,0 days 01:13:31.686000,2.89292257750202,4760.508665317059,6534.027777777777
2023-03-18 17:58:32.111,10736,81.38888888888889,8,100,False,8,car,31.88,0 days 01:13:32.007000,0.6643772227570821,6544.340840800003,6624.151234567901
2023-03-18 17:58:32.311,10720,81.38888888888889,8,100,False,8,car,32.08,0 days 01:13:32.207000,1.3888888888888289,5950.558778915482,6624.151234567901
2023-03-18 17:58:32.511,10860,81.94444444444444,8,100,False,8,car,32.28,0 days 01:13:32.407000,2.1990740740740193,5342.125031387364,6714.891975308642
2023-03-18 17:58:32.671,10902,82.22222222222221,8,100,False,8,car,32.44,0 days 01:13:32.567000,0.9645061728394921,6339.337395729074,6760.493827160492
2023-03-18 17:58:32.871,10871,82.22222222222221,8,100,False,8,car,32.64,0 days 01:13:32.767000,1.0521885521885395,6248.519296569308,6760.493827160492
2023-03-18 17:58:33.111,10966,82.77777777777777,8,100,False,8,car,32.88,0 days 01:13:33.007000,0.925925925925867,6364.1303007706165,6852.160493827159
2023-03-18 17:58:33.271,10990,82.77777777777777,8,100,False,8,car,33.04,0 days 01:13:33.167000,0.23741690408365912,6933.939794897218,6852.160493827159
2023-03-18 17:58:53.071,10614,79.72222222222221,8,99,False,8,car,52.84,0 days 01:13:52.967000,3.612764550264586,4236.758683378473,6355.632716049381
2023-03-18 17:58:53.351,10707,80.55555555555556,8,99,False,8,car,53.12,0 days 01:13:53.247000,2.1870490620490273,5372.502746429844,6489.197530864198
2023-03-18 17:58:53.511,10721,80.83333333333333,8,99,False,8,car,53.28,0 days 01:13:53.407000,1.504629629629619,5906.632941962591,6534.027777777777
2023-03-18 17:58:53.751,10746,81.11111111111111,8,99,False,8,car,53.52,0 days 01:13:53.647000,1.504629629629619,5898.797805682403,6579.0123456790125
2023-03-18 17:58:53.911,10726,81.38888888888889,8,99,False,8,car,53.68,0 days 01:13:53.807000,0.8680555555555713,6373.785926241928,6624.151234567901
2023-03-18 17:58:54.071,10793,81.38888888888889,8,99,False,8,car,53.84,0 days 01:13:53.967000,0.9259259259259522,6371.379117684217,6624.151234567901
2023-03-18 17:58:54.311,10793,81.94444444444444,8,99,False,8,car,54.08,0 days 01:13:54.207000,1.7043142043142154,5696.527404510109,6714.891975308642
2023-03-18 17:58:54.591,10872,82.22222222222221,8,99,False,8,car,54.36,0 days 01:13:54.487000,0.3607503607503304,6805.779743379769,6760.493827160492
2023-03-18 17:58:54.751,10932,82.22222222222221,8,99,False,8,car,54.52,0 days 01:13:54.647000,1.7361111111112564,5737.776501501385,6760.493827160492
