Race,gradient,f_rr,c_rr
all,0.5734192174452799,1927.632064000429,0.061023802052678815
Bahrain Grand Prix,2.6935311720552275,-11383.566461783688,-0.3603740150367444
Saudi Arabian Grand Prix,1.6947590996621682,-5091.700051991861,-0.16118993966075498
Australian Grand Prix,2.301571843499768,-8882.47087434274,-0.28119585396897384
Azerbaijan Grand Prix,0.7596792498377534,601.8705816423825,0.019053652365199108
Miami Grand Prix,0.9125857923097334,-487.17541678490824,-0.01542270267963696
Monaco Grand Prix,4.256071761882338,-20114.49479414103,-0.6367724274932104
Spanish Grand Prix,5.214354526511021,-25954.99993108874,-0.8216675825494564
Austrian Grand Prix,1.3179631038432764,-2970.7841996929133,-0.09404727713807413
British Grand Prix,1.1035129449294878,-1483.0378479455533,-0.046949109095977395
Hungarian Grand Prix,2.952959997406213,-12071.880528574618,-0.38216424261511
Belgian Grand Prix,1.2995004005475943,-3112.8469479765854,-0.09854461311428271
Dutch Grand Prix,0.5544527226621294,2711.6178673291683,0.08584274720715863
Italian Grand Prix,0.997290689871895,-1554.8983978986496,-0.04922402662698886
Singapore Grand Prix,3.5589281712593626,-16159.458361911635,-0.5115662925368218
Japanese Grand Prix,0.4112214200670059,3540.841746472198,0.11209381181809024
Qatar Grand Prix,0.7810538635291672,840.0527449353723,0.02659387824995955
Brazilian Grand Prix,0.997290689871895,-1554.8983978986496,-0.04922402662698886
Las Vegas Grand Prix,1.019583473678558,-1518.112629474503,-0.04805948517087086
Abu Dhabi Grand Prix,2.6263799254734783,-10866.33685300968,-0.3439998750485839
