Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Acceleration,v^2 (m^2/s^4),F_dissipated (N)
2023-03-04 16:03:21.855,10708,80.83333333333333,8,99,False,12,car,0.0,0 days 01:18:20.858000,3.472222222222232,6534.027777777777,4314.089977090484
2023-03-04 16:03:22.175,10827,81.94444444444444,8,99,False,12,car,0.32,0 days 01:18:21.178000,1.4880952380952124,6714.891975308642,5892.850790960472
2023-03-04 16:03:22.415,10892,81.94444444444444,8,99,False,12,car,0.56,0 days 01:18:21.418000,1.234567901234584,6714.891975308642,6139.509788658702
2023-03-04 16:03:22.775,11032,83.05555555555556,8,99,False,12,car,0.92,0 days 01:18:21.778000,2.618473675817029,6898.225308641976,5020.4979217365235
2023-03-04 16:03:23.016,11073,83.61111111111111,8,99,False,12,car,1.161,0 days 01:18:22.019000,1.7301154489951216,6990.817901234568,5714.577993791485
2023-03-04 16:03:23.256,11116,83.88888888888889,8,99,False,12,car,1.401,0 days 01:18:22.259000,0.9837962962962479,7037.3456790123455,6319.339345719931
2023-03-04 16:03:23.656,11149,84.16666666666667,8,99,False,12,car,1.801,0 days 01:18:22.659000,2.0833333333332575,7084.027777777778,5431.7839933994
2023-03-04 16:03:23.856,11245,84.72222222222221,8,99,False,12,car,2.001,0 days 01:18:22.859000,2.041245791245757,7177.854938271604,5479.859433129134
2023-03-04 16:03:24.096,11237,85.0,8,99,False,12,car,2.241,0 days 01:18:23.099000,1.504629629629676,7225.0,5883.506481481445
2023-03-04 16:03:24.256,11268,85.27777777777777,8,99,False,12,car,2.401,0 days 01:18:23.259000,1.7361111111111427,7272.299382716048,5693.562803112534
2023-03-04 16:03:24.416,11323,85.55555555555556,8,99,False,12,car,2.561,0 days 01:18:23.419000,0.9645061728394921,7319.753086419753,6326.1816217732985
2023-03-04 16:03:24.616,11376,85.55555555555556,8,99,False,12,car,2.761,0 days 01:18:23.619000,0.8267195767195687,7319.753086419753,6470.345286195293
2023-03-04 16:03:24.896,11427,86.11111111111111,8,99,False,12,car,3.041,0 days 01:18:23.899000,1.6369047619047308,7415.123456790124,5803.892956989272
2023-03-04 16:03:25.096,11474,86.38888888888889,8,99,False,12,car,3.241,0 days 01:18:24.099000,1.3208061002178155,7463.04012345679,6064.6507677812515
2023-03-04 16:03:25.576,11508,86.94444444444444,8,99,False,12,car,3.721,0 days 01:18:24.579000,0.8829234372712591,7559.336419753086,6392.587208076508
2023-03-04 16:03:26.016,11537,87.22222222222221,8,99,False,12,car,4.161,0 days 01:18:25.019000,0.768374534821902,7607.716049382715,6480.020282907861
2023-03-04 16:03:26.336,11588,87.5,8,99,False,12,car,4.481,0 days 01:18:25.339000,1.0364674686400406,7656.25,6272.950354411433
2023-03-04 16:03:26.575,11627,87.77777777777777,8,99,False,12,car,4.72,0 days 01:18:25.578000,0.5294989139977133,7704.938271604937,6682.412867902728
2023-03-04 16:03:26.775,11678,87.77777777777777,8,99,False,12,car,4.92,0 days 01:18:25.778000,5.684341886080802e-14,7704.938271604937,7139.840506329068
2023-03-04 16:03:26.935,11663,87.77777777777777,8,99,False,12,car,5.08,0 days 01:18:25.938000,0.617283950617292,7704.938271604937,6633.756040006244
