Race,gradient,f_rr,c_rr
all,0.6728576201047262,333.5207089477581,0.010558395506795515
Bahrain Grand Prix,-0.400110988398194,9086.631735389385,0.2876590541844545
Saudi Arabian Grand Prix,1.1141914591519408,-3287.424948151161,-0.10407129713472629
Australian Grand Prix,1.06785759145824,-2446.313218520783,-0.07744389419215982
Azerbaijan Grand Prix,0.20162085624104278,4210.943261315628,0.13330747751741562
Miami Grand Prix,0.3950200528709907,2705.386520795723,0.0856454790331745
Spanish Grand Prix,1.2720365807516625,-4185.8031197721475,-0.13251160622549393
Canadian Grand Prix,1.131325179128432,-3171.5941782314476,-0.10040439715562924
Austrian Grand Prix,1.7019462892185444,-7589.694821799586,-0.24026993693213244
Hungarian Grand Prix,-3.4604261188100405,31962.29130014469,1.0118427545774906
Italian Grand Prix,1.1602288918179025,-3868.059008202893,-0.12245265663136529
Singapore Grand Prix,3.6344601208330243,-22100.0947710374,-0.6996313424328514
Japanese Grand Prix,1.5885374342669207,-7120.290633578321,-0.225409824984593
Qatar Grand Prix,0.8066611178157864,-224.73406532325444,-0.007114494188439178
United States Grand Prix,0.9007717573016084,-1459.1378023621728,-0.04619249600680548
Mexican Grand Prix,1.2176885092313219,-4925.245572419951,-0.15592042510874157
Brazilian Grand Prix,1.1602288918179025,-3868.059008202893,-0.12245265663136529
Las Vegas Grand Prix,0.845022191503984,-1272.54058328778,-0.04028531487352176
Abu Dhabi Grand Prix,1.067512106275729,-2626.860729104698,-0.08315955733801539
